PresentId,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8
1,1,1,1,2,5,1,2,1,1,1,5,1,2,5,3,1,1,3,2,1,3,1,5,3
2,3,1,1,245,207,1,245,1,1,3,207,1,245,207,73,3,1,73,245,1,73,3,207,73
3,246,1,1,481,78,1,481,1,1,246,78,1,481,78,160,246,1,160,481,1,160,246,78,160
4,482,1,1,491,8,1,491,1,1,482,8,1,491,8,3,482,1,3,491,1,3,482,8,3
5,492,1,1,500,9,1,500,1,1,492,9,1,500,9,10,492,1,10,500,1,10,492,9,10
6,501,1,1,670,120,1,670,1,1,501,120,1,670,120,171,501,1,171,670,1,171,501,120,171
7,671,1,1,888,116,1,888,1,1,671,116,1,888,116,91,671,1,91,888,1,91,671,116,91
8,246,79,1,387,284,1,387,79,1,246,284,1,387,284,222,246,79,222,387,79,222,246,284,222
9,889,1,1,925,8,1,925,1,1,889,8,1,925,8,28,889,1,28,925,1,28,889,8,28
10,926,1,1,928,2,1,928,1,1,926,2,1,928,2,7,926,1,7,928,1,7,926,2,7
11,929,1,1,970,41,1,970,1,1,929,41,1,970,41,22,929,1,22,970,1,22,929,41,22
12,971,1,1,981,42,1,981,1,1,971,42,1,981,42,31,971,1,31,981,1,31,971,42,31
13,889,9,1,916,28,1,916,9,1,889,28,1,916,28,83,889,9,83,916,9,83,889,28,83
14,889,29,1,917,41,1,917,29,1,889,41,1,917,41,76,889,29,76,917,29,76,889,41,76
15,889,43,1,986,242,1,986,43,1,889,242,1,986,242,96,889,43,96,986,43,96,889,242,96
16,388,79,1,413,116,1,413,79,1,388,116,1,413,116,4,388,79,4,413,79,4,388,116,4
17,982,1,1,990,34,1,990,1,1,982,34,1,990,34,36,982,1,36,990,1,36,982,34,36
18,991,1,1,993,4,1,993,1,1,991,4,1,993,4,4,991,1,4,993,1,4,991,4,4
19,414,79,1,491,162,1,491,79,1,414,162,1,491,162,240,414,79,240,491,79,240,414,162,240
20,671,117,1,784,335,1,784,117,1,671,335,1,784,335,233,671,117,233,784,117,233,671,335,233
21,785,117,1,819,144,1,819,117,1,785,144,1,819,144,22,785,117,22,819,117,22,785,144,22
22,388,163,1,572,373,1,572,163,1,388,373,1,572,373,195,388,163,195,572,163,195,388,373,195
23,994,1,1,1000,3,1,1000,1,1,994,3,1,1000,3,2,994,1,2,1000,1,2,994,3,2
24,820,117,1,856,125,1,856,117,1,820,125,1,856,125,31,820,117,31,856,117,31,820,125,31
25,1,208,1,144,311,1,144,208,1,1,311,1,144,311,101,1,208,101,144,208,101,1,311,101
26,492,121,1,547,151,1,547,121,1,492,151,1,547,151,32,492,121,32,547,121,32,492,151,32
27,785,243,1,926,451,1,926,243,1,785,451,1,926,451,188,785,243,188,926,243,188,785,451,188
28,548,121,1,592,138,1,592,121,1,548,138,1,592,138,93,548,121,93,592,121,93,548,138,93
29,991,5,1,998,13,1,998,5,1,991,13,1,998,13,2,991,5,2,998,5,2,991,13,2
30,482,10,1,494,19,1,494,10,1,482,19,1,494,19,57,482,10,57,494,10,57,482,19,57
31,857,117,1,878,170,1,878,117,1,857,170,1,878,170,49,857,117,49,878,117,49,857,170,49
32,593,121,1,664,292,1,664,121,1,593,292,1,664,292,190,593,121,190,664,121,190,593,292,190
33,482,20,1,498,47,1,498,20,1,482,47,1,498,47,36,482,20,36,498,20,36,482,47,36
34,145,285,1,265,374,1,265,285,1,145,374,1,265,374,87,145,285,87,265,285,87,145,374,87
35,991,14,1,995,52,1,995,14,1,991,52,1,995,52,33,991,14,33,995,14,33,991,52,33
36,820,126,1,851,159,1,851,126,1,820,159,1,851,159,23,820,126,23,851,126,23,820,159,23
37,987,53,1,1000,85,1,1000,53,1,987,85,1,1000,85,16,987,53,16,1000,53,16,987,85,16
38,388,117,1,405,158,1,405,117,1,388,158,1,405,158,96,388,117,96,405,117,96,388,158,96
39,492,48,1,499,102,1,499,48,1,492,102,1,499,102,32,492,48,32,499,48,32,492,102,32
40,917,9,1,926,13,1,926,9,1,917,13,1,926,13,7,917,9,7,926,9,7,917,13,7
41,495,10,1,500,15,1,500,10,1,495,15,1,500,15,9,495,10,9,500,10,9,495,15,9
42,573,336,1,775,536,1,775,336,1,573,536,1,775,536,69,573,336,69,775,336,69,573,536,69
43,573,139,1,592,191,1,592,139,1,573,191,1,592,191,11,573,139,11,592,139,11,573,191,11
44,785,145,1,816,162,1,816,145,1,785,162,1,816,162,30,785,145,30,816,145,30,785,162,30
45,266,285,1,385,495,1,385,285,1,266,495,1,385,495,234,266,285,234,385,285,234,266,495,234
46,1,375,1,246,471,1,246,375,1,1,471,1,246,471,206,1,375,206,246,375,206,1,471,206
47,917,14,1,921,15,1,921,14,1,917,15,1,921,15,3,917,14,3,921,14,3,917,15,3
48,386,374,1,509,524,1,509,374,1,386,524,1,509,524,92,386,374,92,509,374,92,386,524,92
49,785,163,1,827,210,1,827,163,1,785,210,1,827,210,69,785,163,69,827,163,69,785,210,69
50,926,3,1,927,4,1,927,3,1,926,4,1,927,4,7,926,3,7,927,3,7,926,4,7
51,1,472,1,231,644,1,231,472,1,1,644,1,231,644,103,1,472,103,231,472,103,1,644,103
52,987,86,1,998,111,1,998,86,1,987,111,1,998,111,88,987,86,88,998,86,88,987,111,88
53,917,16,1,924,25,1,924,16,1,917,25,1,924,25,7,917,16,7,924,16,7,917,25,7
54,918,26,1,927,33,1,927,26,1,918,33,1,927,33,8,918,26,8,927,26,8,918,33,8
55,828,171,1,884,234,1,884,171,1,828,234,1,884,234,33,828,171,33,884,171,33,828,234,33
56,145,208,1,181,228,1,181,208,1,145,228,1,181,228,20,145,208,20,181,208,20,145,228,20
57,548,139,1,562,162,1,562,139,1,548,162,1,562,162,33,548,139,33,562,139,33,548,162,33
58,182,208,1,217,233,1,217,208,1,182,233,1,217,233,12,182,208,12,217,208,12,182,233,12
59,145,234,1,188,257,1,188,234,1,145,257,1,188,257,64,145,234,64,188,234,64,145,257,64
60,987,112,1,994,147,1,994,112,1,987,147,1,994,147,30,987,112,30,994,112,30,987,147,30
61,785,211,1,827,236,1,827,211,1,785,236,1,827,236,83,785,211,83,827,211,83,785,236,83
62,218,208,1,240,230,1,240,208,1,218,230,1,240,230,70,218,208,70,240,208,70,218,230,70
63,918,34,1,926,37,1,926,34,1,918,37,1,926,37,10,918,34,10,926,34,10,918,37,10
64,987,148,1,999,163,1,999,148,1,987,163,1,999,163,36,987,148,36,999,148,36,987,163,36
65,927,243,1,955,301,1,955,243,1,927,301,1,955,301,58,927,243,58,955,243,58,927,301,58
66,776,452,1,908,576,1,908,452,1,776,576,1,908,576,214,776,452,214,908,452,214,776,576,214
67,999,4,1,1000,12,1,1000,4,1,999,12,1,1000,12,5,999,4,5,1000,4,5,999,12,5
68,232,496,1,348,692,1,348,496,1,232,692,1,348,692,231,232,496,231,348,496,231,232,692,231
69,492,152,1,530,161,1,530,152,1,492,161,1,530,161,74,492,152,74,530,152,74,492,161,74
70,189,234,1,219,244,1,219,234,1,189,244,1,219,244,37,189,234,37,219,234,37,189,244,37
71,956,243,1,996,260,1,996,243,1,956,260,1,996,260,80,956,243,80,996,243,80,956,260,80
72,495,16,1,500,18,1,500,16,1,495,18,1,500,18,6,495,16,6,500,16,6,495,18,6
73,189,245,1,229,275,1,229,245,1,189,275,1,229,275,8,189,245,8,229,245,8,189,275,8
74,573,293,1,633,332,1,633,293,1,573,332,1,633,332,32,573,293,32,633,293,32,573,332,32
75,956,261,1,996,323,1,996,261,1,956,323,1,996,323,39,956,261,39,996,261,39,956,323,39
76,1,312,1,30,360,1,30,312,1,1,360,1,30,360,36,1,312,36,30,312,36,1,360,36
77,926,5,1,927,8,1,927,5,1,926,8,1,927,8,2,926,5,2,927,5,2,926,8,2
78,145,258,1,168,282,1,168,258,1,145,282,1,168,282,45,145,258,45,168,258,45,145,282,45
79,982,35,1,987,40,1,987,35,1,982,40,1,987,40,2,982,35,2,987,35,2,982,40,2
80,1,6,1,2,8,1,2,6,1,1,8,1,2,8,5,1,6,5,2,6,5,1,8,5
